X,Y,OBJECTID,RUN_DATE,SOURCE,Bureau,FACID,FACILITY_NAME,LICENSE_NUMBER,License_Effective,license_expiration,MEDICARE_ID,Telephone,FACILITY_TYPE_ID,TYPE,SUBTYPE,Category,Icon_Category,MEDICARE_TYPE,LICENSE_TYPE,LICENSE_SUBTYPE,Capacity,ADDRESS,CITY,ZIP,COUNTY,OPERATION_STATUS,X_Is_Public,Hospital_Group_License,KeyID,ADHSCODE,N_AddressType,N_LocatorType,N_ADDRESS,N_ADDR2,N_CITY,N_COUNTY,N_FULLADDR,N_LAT,N_LON,N_STATE,N_ZIP,N_ZIP4,N_BLOCK,RESERVATIO,RESERV_ID,R_METHOD,oPCA,oPCA_ID,P_Method,P_Reliable
-110.977175723958,32.3346170154791,12,2023/02/08 00:00:00+00,iqies,MED,AZ037130,"BAYADA HOME HEALTH CARE, INC",HHA5330,2022/06/01 00:00:00+00,2023/05/31 00:00:00+00,037130,(520)544-2300,051,HOME HEALTH AGENCY,HHA,MED,HOME HEALTH AGENCY,HOME HEALTH AGENCY (HHA),HHA,,,"7070 NORTH ORACLE ROAD, SUITE ",TUCSON,85704,PIMA,ACTIVE,Yes,,AZ037130,A,AS0,CENTRUS-TOMTOM,7070 N ORACLE RD,,TUCSON,PIMA COUNTY,"7070 N ORACLE RD , TUCSON, AZ  85704-4337",32.334612,-110.977165,AZ,85704,4337,40190047141015,,,,CATALINA FOOTHILLS,99,Coordinates,
-111.995872016635,33.6252421452738,13,2023/02/08 00:00:00+00,iqies,MED,AZ037162,NURSING SOLUTIONS,HHA0191,2022/06/01 00:00:00+00,2023/05/31 00:00:00+00,037162,(602)331-1100,051,HOME HEALTH AGENCY,HHA,MED,HOME HEALTH AGENCY,HOME HEALTH AGENCY (HHA),HHA,,,"15255 NORTH 40TH STREET, SUITE",PHOENIX,85032,MARICOPA,ACTIVE,Yes,,AZ037162,A,AS0,CENTRUS-TOMTOM,15255 N 40TH ST,,PHOENIX,MARICOPA COUNTY,"15255 N 40TH ST , PHOENIX, AZ  85032-4624",33.625237,-111.995861,AZ,85032,4624,40131032111005,,,,PARADISE VALLEY VILLAGE,32,Coordinates,
-111.457794198751,36.9218776104718,14,2023/02/08 00:00:00+00,iqies,MED,AZ037178,"HORIZON HOME HEALTH, LLC",HHA3429,2022/06/01 00:00:00+00,2023/05/31 00:00:00+00,037178,(928)645-9110,051,HOME HEALTH AGENCY,HHA,MED,HOME HEALTH AGENCY,HOME HEALTH AGENCY (HHA),HHA,,,906 NORTH NAVAJO DRIVE,PAGE,86040,COCONINO,ACTIVE,Yes,,AZ037178,A,AS0,CENTRUS-TOMTOM,906 N NAVAJO DR,,PAGE,COCONINO COUNTY,"906 N NAVAJO DR , PAGE, AZ  86040-0975",36.921872,-111.457783,AZ,86040,975,40050021012010,,,,PAGE,7,Coordinates,
-109.882645445549,31.4173919299636,15,2023/02/08 00:00:00+00,iqies,MED,AZ037179,COPPER VALLEY HOME HEALTH,HHA0212,2022/07/01 00:00:00+00,2023/06/30 00:00:00+00,037179,(520)432-7450,051,HOME HEALTH AGENCY,HHA,MED,HOME HEALTH AGENCY,HOME HEALTH AGENCY (HHA),HHA,,,101 COLE AVENUE,BISBEE,85603,COCHISE,ACTIVE,Yes,,AZ037179,A,AS0,CENTRUS-TOMTOM,101 COLE AVE,,BISBEE,COCHISE COUNTY,"101 COLE AVE , BISBEE, AZ  85603-1327",31.417387,-109.882635,AZ,85603,1327,40030011001031,,,,BISBEE,124,Coordinates,
-112.229772063916,33.6463761357652,16,2023/02/08 00:00:00+00,iqies,MED,AZ037185,"BAYADA HOME HEALTH CARE, INC.",HHA6343,2022/03/01 00:00:00+00,2023/02/28 00:00:00+00,037185,(623)979-5266,051,HOME HEALTH AGENCY,HHA,MED,HOME HEALTH AGENCY,HOME HEALTH AGENCY (HHA),HHA,,,"18001 NORTH 79TH AVENUE, SUITE",GLENDALE,85308,MARICOPA,ACTIVE,Yes,,AZ037185,A,AS0,CENTRUS-TOMTOM,18001 N 79TH AVE,,GLENDALE,MARICOPA COUNTY,"18001 N 79TH AVE , GLENDALE, AZ  85308-8388",33.646371,-112.229761,AZ,85308,8388,40136177001003,,,,GLENDALE NORTH,56,Coordinates,
-112.110919043003,33.676346146125,17,2023/02/08 00:00:00+00,iqies,MED,AZ037188,NIGHTINGALE HOMECARE,HHA0248,2022/07/01 00:00:00+00,2023/06/30 00:00:00+00,037188,(602)504-1555,051,HOME HEALTH AGENCY,HHA,MED,HOME HEALTH AGENCY,HOME HEALTH AGENCY (HHA),HHA,,,"2411 WEST ROSE GARDEN LANE, SU",PHOENIX,85027,MARICOPA,ACTIVE,Yes,,AZ037188,A,AS0,CENTRUS-TOMTOM,2411 W ROSE GARDEN LN # SU,,PHOENIX,MARICOPA COUNTY,"2411 W ROSE GARDEN LN # SU , PHOENIX, AZ  85027-2581",33.676341,-112.110908,AZ,85027,2581,40136147002010,,,,DEER VALLEY VILLAGE,31,Coordinates,
-112.077489022571,33.4915951227755,18,2023/02/08 00:00:00+00,iqies,MED,AZ037205,NURSECORE OF PHOENIX,HHA0275,2022/03/01 00:00:00+00,2023/02/28 00:00:00+00,037205,(602)274-3400,051,HOME HEALTH AGENCY,HHA,MED,HOME HEALTH AGENCY,HOME HEALTH AGENCY (HHA),HHA,,,"300 WEST CLARENDON, SUITE 340",PHOENIX,85013,MARICOPA,ACTIVE,Yes,,AZ037205,A,AS0,CENTRUS-TOMTOM,300 W CLARENDON AVE STE 340,,PHOENIX,MARICOPA COUNTY,"300 W CLARENDON AVE STE 340 , PHOENIX, AZ  85013-3499",33.49159,-112.077478,AZ,85013,3499,40131105011003,,,,ENCANTO VILLAGE,37,Coordinates,
-110.943672712403,32.2607200063949,19,2023/02/08 00:00:00+00,iqies,MED,AZ037206,NURSING SOLUTIONS OF SOUTHERN ARIZONA,HHA0263,2022/04/01 00:00:00+00,2023/03/31 00:00:00+00,037206,(520)886-6620,051,HOME HEALTH AGENCY,HHA,MED,HOME HEALTH AGENCY,HOME HEALTH AGENCY (HHA),HHA,,,"2980 NORTH CAMPBELL AVENUE, SU",TUCSON,85719,PIMA,ACTIVE,Yes,,AZ037206,A,AS0,CENTRUS-TOMTOM,2980 N CAMPBELL AVE # SU,,TUCSON,PIMA COUNTY,"2980 N CAMPBELL AVE # SU , TUCSON, AZ  85719-7401",32.260715,-110.943662,AZ,85719,7401,40190027022020,,,,TUCSON CENTRAL,107,Coordinates,
-111.887371978026,33.392856119179,20,2023/02/08 00:00:00+00,iqies,MED,AZ037212,"INSPIRED HOMECARE OF ARIZONA, LLC",HHA11136,2022/09/01 00:00:00+00,2023/08/31 00:00:00+00,037212,(480)413-9087,051,HOME HEALTH AGENCY,HHA,MED,HOME HEALTH AGENCY,HOME HEALTH AGENCY (HHA),HHA,,,"2421 EAST SOUTHERN AVENUE, SUI",TEMPE,85282,MARICOPA,ACTIVE,Yes,,AZ037212,A,AS0,CENTRUS-TOMTOM,2421 E SOUTHERN AVE # SUI,,TEMPE,MARICOPA COUNTY,"2421 E SOUTHERN AVE # SUI , TEMPE, AZ  85282-7612",33.392851,-111.887361,AZ,85282,7612,40133194042005,,,,TEMPE NORTH,71,Coordinates,
-110.856034693826,32.2444990081927,21,2023/02/08 00:00:00+00,iqies,MED,AZ037213,"BAYADA HOME HEALTH CARE, INC",HHA1562,2022/06/01 00:00:00+00,2023/05/31 00:00:00+00,037213,(520)721-8800,051,HOME HEALTH AGENCY,HHA,MED,HOME HEALTH AGENCY,HOME HEALTH AGENCY (HHA),HHA,,,"6367 EAST TANQUE VERDE ROAD, S",TUCSON,85715,PIMA,ACTIVE,Yes,,AZ037213,A,AS0,CENTRUS-TOMTOM,6367 E TANQUE VERDE RD,,TUCSON,PIMA COUNTY,"6367 E TANQUE VERDE RD , TUCSON, AZ  85715-3829",32.244494,-110.856024,AZ,85715,3829,40190030034000,,,,TUCSON FOOTHILLS,108,Coordinates,
-110.277042233924,31.5555362333076,22,2023/02/08 00:00:00+00,iqies,MED,MED0014,CASA DE LA PAZ HOSPICE,HSPC9950,2022/12/01 00:00:00+00,2023/11/30 00:00:00+00,031529,(337)233-1307,161,HOSPICE,HOSPICE,MED,HOSPICE,HOSPICE,HOSPICE,,,"49 NORTH CORONADO DRIVE, SUITE",SIERRA VISTA,85635,COCHISE,ACTIVE,Yes,,MED0014,A,ROOFTOP,GOOGLE,49 Coronado Drive,,Sierra Vista,COCHISE COUNTY,"49 N CORONADO DR , SIERRA VISTA, AZ  85635-6346",31.5555313,-110.2770317,AZ,85635,6346,40030016013024,,,,SIERRA VISTA,123,Coordinates,
-112.049136016577,33.4855271234321,23,2023/02/08 00:00:00+00,iqies,MED,MED0025,HOSPICE OF THE VALLEY - CENTRAL,HSPC0018,2022/05/01 00:00:00+00,2023/04/30 00:00:00+00,031500,(602)287-7000,161,HOSPICE,HOSPICE,MED,HOSPICE,HOSPICE,HOSPICE,,,"1510 EAST FLOWER STREET, BUILD",PHOENIX,85014,MARICOPA,ACTIVE,Yes,,MED0025,A,AS0,CENTRUS-TOMTOM,1510 E FLOWER ST,,PHOENIX,MARICOPA COUNTY,"1510 E FLOWER ST , PHOENIX, AZ  85014-5698",33.485522,-112.049125,AZ,85014,5698,40131106004002,,,,ENCANTO VILLAGE,37,Coordinates,
-111.890891974438,33.3347131110062,24,2023/02/08 00:00:00+00,iqies,MED,MED0157,ARIZONA SPECIALTY SURGERY CENTER,OSC9455,2022/04/01 00:00:00+00,2023/03/31 00:00:00+00,03C0001056,(480)386-8400,15,AMBULATORY SURGICAL CENTER,OUTPATIENT SURGERY CENTER,MED,OUTPATIENT (AMBULATORY) SURGICAL CENTER,AMBULATORY SURGICAL CENTER,OUTPATIENT SURGERY CENTER,,,"2905 WEST WARNER ROAD, SUITE 1",CHANDLER,85224,MARICOPA,ACTIVE,Yes,,MED0157,A,AS0,CENTRUS-TOMTOM,2905 W WARNER RD STE 1,,CHANDLER,MARICOPA COUNTY,"2905 W WARNER RD STE 1 , CHANDLER, AZ  85224-1674",33.334708,-111.890881,AZ,85224,1674,40138103003002,,,,CHANDLER NORTH,78,Coordinates,
-112.287098071938,33.6049001271248,25,2023/02/08 00:00:00+00,iqies,MED,MED0159,"EYE INSTITUTE AT BOSWELL, THE",OSC0026,2022/03/01 00:00:00+00,2023/02/28 00:00:00+00,03C0001021,(623)933-3402,15,AMBULATORY SURGICAL CENTER,OUTPATIENT SURGERY CENTER,MED,OUTPATIENT (AMBULATORY) SURGICAL CENTER,AMBULATORY SURGICAL CENTER,OUTPATIENT SURGERY CENTER,,,10541 WEST THUNDERBIRD BOULEVA,SUN CITY,85351,MARICOPA,ACTIVE,Yes,,MED0159,A,AS0,CENTRUS-TOMTOM,10541 W THUNDERBIRD BLVD,,SUN CITY,MARICOPA COUNTY,"10541 W THUNDERBIRD BLVD , SUN CITY, AZ  85351-3006",33.604895,-112.287087,AZ,85351,3006,40130715033015,,,,SUN CITY,59,Coordinates,
-111.684380939518,33.4118231323294,26,2023/02/08 00:00:00+00,iqies,MED,MED0171,"Scottsdale Eye Institute, PLLC",OSC3901,2022/03/01 00:00:00+00,2023/02/28 00:00:00+00,03C0001244,(480)981-1345,15,AMBULATORY SURGICAL CENTER,OUTPATIENT SURGERY CENTER,MED,OUTPATIENT (AMBULATORY) SURGICAL CENTER,AMBULATORY SURGICAL CENTER,OUTPATIENT SURGERY CENTER,,,"215 SOUTH POWER ROAD, SUITE 11",MESA,85206,MARICOPA,ACTIVE,Yes,,MED0171,A,AS0,CENTRUS-TOMTOM,215 S POWER RD STE 11,,MESA,MARICOPA COUNTY,"215 S POWER RD STE 11 , MESA, AZ  85206-5235",33.411818,-111.68437,AZ,85206,5235,40134226261012,,,,MESA GATEWAY,69,Coordinates,
-110.978914722496,32.3072150114415,27,2023/02/08 00:00:00+00,iqies,MED,MED0174,NORTHWEST EYE SPECIALISTS THE CTR FOR EYE SURGERY,OSC0045,2022/10/01 00:00:00+00,2023/09/30 00:00:00+00,03C0001059,(520)293-6740,15,AMBULATORY SURGICAL CENTER,OUTPATIENT SURGERY CENTER,MED,OUTPATIENT (AMBULATORY) SURGICAL CENTER,AMBULATORY SURGICAL CENTER,OUTPATIENT SURGERY CENTER,,,5599 NORTH ORACLE ROAD,TUCSON,85704,PIMA,ACTIVE,Yes,,MED0174,A,AS0,CENTRUS-TOMTOM,5599 N ORACLE RD,,TUCSON,PIMA COUNTY,"5599 N ORACLE RD , TUCSON, AZ  85704-3821",32.30721,-110.978904,AZ,85704,3821,40190046183002,,,,CASAS ADOBES,105,Coordinates,
-112.091786028882,33.5386601284353,28,2023/02/08 00:00:00+00,iqies,MED,MED0175,"OUTPATIENT SURGICAL CARE, LTD.",OSC0032,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,03C0001041,(602)995-3395,15,AMBULATORY SURGICAL CENTER,OUTPATIENT SURGERY CENTER,MED,OUTPATIENT (AMBULATORY) SURGICAL CENTER,AMBULATORY SURGICAL CENTER,OUTPATIENT SURGERY CENTER,,,"1530 WEST GLENDALE AVENUE, SUI",PHOENIX,85021,MARICOPA,ACTIVE,Yes,,MED0175,A,AS0,CENTRUS-TOMTOM,1530 W GLENDALE AVE # SUI,,PHOENIX,MARICOPA COUNTY,"1530 W GLENDALE AVE # SUI , PHOENIX, AZ  85021-8578",33.538655,-112.091775,AZ,85021,8578,40131061005000,,,,ALHAMBRA VILLAGE,35,Coordinates,
-112.480764185103,34.5608022438253,29,2023/02/08 00:00:00+00,iqies,MED,MED0177,PRESCOTT OUTPATIENT SURGICAL CENTER,OSC0035,2022/03/01 00:00:00+00,2023/02/28 00:00:00+00,03C0001043,(928)778-9770,15,AMBULATORY SURGICAL CENTER,OUTPATIENT SURGERY CENTER,MED,OUTPATIENT (AMBULATORY) SURGICAL CENTER,AMBULATORY SURGICAL CENTER,OUTPATIENT SURGERY CENTER,,,815 AINSWORTH DRIVE,PRESCOTT,86301,YAVAPAI,ACTIVE,Yes,,MED0177,A,AS0,CENTRUS-TOMTOM,815 AINSWORTH DR,,PRESCOTT,YAVAPAI COUNTY,"815 AINSWORTH DR , PRESCOTT, AZ  86301-1631",34.560797,-112.480753,AZ,86301,1631,40250009022000,,,,PRESCOTT,21,Coordinates,
-112.262917067211,33.6046101283637,30,2023/02/08 00:00:00+00,iqies,MED,MED0179,"SURGERY CENTER OF PEORIA, LLC",OSC0016,2022/07/01 00:00:00+00,2023/06/30 00:00:00+00,03C0001016,(623)933-2900,15,AMBULATORY SURGICAL CENTER,OUTPATIENT SURGERY CENTER,MED,OUTPATIENT (AMBULATORY) SURGICAL CENTER,AMBULATORY SURGICAL CENTER,OUTPATIENT SURGERY CENTER,,,"13260 NORTH 94TH DRIVE, SUITE ",PEORIA,85381,MARICOPA,ACTIVE,Yes,,MED0179,A,AS0,CENTRUS-TOMTOM,13260 N 94TH DR,,PEORIA,MARICOPA COUNTY,"13260 N 94TH DR , PEORIA, AZ  85381-4828",33.604605,-112.262906,AZ,85381,4828,40130715161003,,,,PEORIA SOUTH,49,Coordinates,
-111.635072073008,35.1973623762737,31,2023/02/08 00:00:00+00,iqies,MED,MED0314,"NORTHLAND HOSPICE AND PALLIATIVE CARE, INC.",HSPC0007,2022/09/01 00:00:00+00,2023/08/31 00:00:00+00,031512,(928)779-1227,161,HOSPICE,HOSPICE,MED,HOSPICE,HOSPICE,HOSPICE,,,452 NORTH SWITZER CANYON DRIVE,FLAGSTAFF,86001,COCONINO,ACTIVE,Yes,,MED0314,A,AS0,CENTRUS-TOMTOM,452 N SWITZER CANYON DR,,FLAGSTAFF,COCONINO COUNTY,"452 N SWITZER CANYON DR , FLAGSTAFF, AZ  86001-4855",35.197357,-111.635061,AZ,86001,4855,40050002001008,,,,FLAGSTAFF,10,Coordinates,
-114.350467533641,34.4782141271944,32,2023/02/08 00:00:00+00,iqies,MED,MED0317,"HOSPICE OF HAVASU, INC.",HSPC0011,2022/03/01 00:00:00+00,2023/02/28 00:00:00+00,031543,(928)453-2111,161,HOSPICE,HOSPICE,MED,HOSPICE,HOSPICE,HOSPICE,,,"232 LONDON BRIDGE ROAD, BUILDI",LAKE HAVASU CITY,86403,MOHAVE,ACTIVE,Yes,,MED0317,A,AS0,CENTRUS-TOMTOM,232 LONDON BRIDGE RD,,LAKE HAVASU CITY,MOHAVE COUNTY,"232 LONDON BRIDGE RD , LAKE HAVASU CITY, AZ  86403-4647",34.478209,-114.350456,AZ,86403,4647,40159526004053,,,,LAKE HAVASU CITY,6,Coordinates,
-111.640034075114,35.21028037769,33,2023/02/08 00:00:00+00,iqies,MED,MED0339,NORTHERN ARIZONA HEALTHCARE ORTHOPEDIC SURGERY,OSC7083,2022/04/01 00:00:00+00,2023/03/31 00:00:00+00,03C0001071,(928)214-2753,15,AMBULATORY SURGICAL CENTER,OUTPATIENT SURGERY CENTER,MED,OUTPATIENT (AMBULATORY) SURGICAL CENTER,AMBULATORY SURGICAL CENTER,OUTPATIENT SURGERY CENTER,,,"1485 NORTH TURQUOISE DRIVE, SU",FLAGSTAFF,86001,COCONINO,ACTIVE,Yes,,MED0339,A,AS0,CENTRUS-TOMTOM,1485 N TURQUOISE DR # SU,,FLAGSTAFF,COCONINO COUNTY,"1485 N TURQUOISE DR # SU , FLAGSTAFF, AZ  86001-1398",35.210275,-111.640023,AZ,86001,1398,40050002001018,,,,FLAGSTAFF,10,Coordinates,
-110.884689700362,32.2567920086191,34,2023/02/08 00:00:00+00,iqies,MED,MED0459,T M C HOSPICE AKA PEPPI'S HOUSE,HSPC0020,2022/06/01 00:00:00+00,2023/05/31 00:00:00+00,031514,(520)324-5624,161,HOSPICE,HOSPICE,MED,HOSPICE,HOSPICE,HOSPICE,,,2715 NORTH WYATT DRIVE,TUCSON,85712,PIMA,ACTIVE,Yes,,MED0459,A,AS0,CENTRUS-TOMTOM,2715 N WYATT DR,,TUCSON,PIMA COUNTY,"2715 N WYATT DR , TUCSON, AZ  85712-6111",32.256787,-110.884679,AZ,85712,6111,40190029042005,,,,TUCSON FOOTHILLS,108,Coordinates,
-112.262387065285,33.5804321251214,35,2023/02/08 00:00:00+00,iqies,MED,MED0480,HOSPICE OF THE VALLEY - WEST (031515),HSPC0022,2022/10/01 00:00:00+00,2023/09/30 00:00:00+00,031515,(623)583-4848,161,HOSPICE,HOSPICE,MED,HOSPICE,HOSPICE,HOSPICE,,,9435 WEST PEORIA AVENUE,PEORIA,85345,MARICOPA,ACTIVE,Yes,,MED0480,A,AS0,CENTRUS-TOMTOM,9435 W PEORIA AVE,,PEORIA,MARICOPA COUNTY,"9435 W PEORIA AVE , PEORIA, AZ  85345-6479",33.580427,-112.262376,AZ,85345,6479,40130719094000,,,,PEORIA SOUTH,49,Coordinates,
